Type;Official;Device family
0xFE (254);Fronius IG 15;
0xFD (253);Fronius IG 20;
0xFC (252);Fronius IG 30;
0xFA (250);Fronius IG 40;
0x88 (136);Fronius IG 50;
0xF9 (249);Fronius IG 60 HV;
0xF3 (243);Fronius IG 60 ADV;
0xFB (251);Fronius IG 30 Dummy;
0xD4 (212);Fronius IG Plus 35;
0xD0 (208);Fronius IG Plus 50;
0xD5 (213);Fronius IG Plus 70;
0xD6 (214);Fronius IG Plus 70;
0xD1 (209);Fronius IG Plus 100;
0xD2 (210);Fronius IG Plus 100;
0xD7 (215);Fronius IG Plus 120;
0xD3 (211);Fronius IG Plus 150;
0xBE (190);Fronius IG TL 3.0;IG TL
0xC1 (193);Fronius IG TL 3.6;IG TL
0xBF (191);Fronius IG TL 4.0;IG TL
0xC3 (195);Fronius IG TL 4.6;IG TL
0xC0 (192);Fronius IG TL 5.0;IG TL
0xC2 (194);Fronius IG TL Dummy;IG TL
0xBC (188);Fronius CL 36.0;
0xBD (189);Fronius CL 48.0;
0xC9 (201);Fronius CL 60.0;
0xF6 (246);Fronius IG 300;
0xF5 (245);Fronius IG 400;
0xF4 (244);Fronius IG 500;
0xEE (238);Fronius IG 2000;
0xED (237);Fronius IG 3000;
0xE5 (229);Fronius IG 2500-LV;
0xEB (235);Fronius IG 4000;
0xEA (234);Fronius IG 5100;
0xE3 (227);Fronius IG 4500-LV;
0xD8 (216);Fronius IG Plus 3.0-1 UNI;
0xD9 (217);Fronius IG Plus 3.8-1 UNI;
0xDA (218);Fronius IG Plus 5.0-1 UNI;
0xDB (219);Fronius IG Plus 6.0-1 UNI;
0xDC (220);Fronius IG Plus 7.5-1 UNI;
0xDD (221);Fronius IG Plus 10.0-1 UNI;
0xDE (222);Fronius IG Plus 11.4-1 UNI;
0xDF (223);Fronius IG Plus 11.4-3 Delta;
0xCF (207);Fronius IG Plus 12.0-3 WYE277;
0xB9 (185);Fronius CL 36.0 WYE277;
0xBA (186);Fronius CL 48.0 WYE277;
0xBB (187);Fronius CL 60.0 WYE277;
0xB6 (182);Fronius CL 33.3 Delta;
0xB7 (183);Fronius CL 44.4 Delta;
0xB8 (184);Fronius CL 55.5 Delta;
0xC4 (196);SPR 12000F EU;
0xB5 (181);SPR 10000F EU;
0xC5 (197);SPR 8000F EU;
0xC6 (198);SPR 6500F EU;
0xC7 (199);SPR 4000F EU;
0xC8 (200);SPR 3300F EU;
0xB3 (179);SPR 12000f-277;
0xCA (202);SPR 12000f;
0xB2 (178);SPR 11400f-3 208/240;
0xB4 (180);SPR 10000f;
0xCB (203);SPR 8000f;
0xCC (204);SPR 6500f;
0xCD (205);SPR 4000f;
0xCE (206);SPR 3300f;
0x89 (137);Fronius IG Plus 30 V-1;
0xB1 (177);Fronius IG Plus 35 V-1;
0xB0 (176);Fronius IG Plus 50 V-1;
0xAF (175);Fronius IG Plus 70 V-1;
0xAE (174);Fronius IG Plus 70 V-2;
0xAD (173);Fronius IG Plus 100 V-1;
0xAC (172);Fronius IG Plus 100 V-2;
0x84 (132);Fronius IG Plus 100 V-3;
0xAB (171);Fronius IG Plus 120 V-3;
0xAA (170);Fronius IG Plus 150 V-3;
0xA9 (169);Fronius IG Plus V/A 3.0-1 UNI;
0xA8 (168);Fronius IG Plus V/A 3.8-1 UNI;
0xA7 (167);Fronius IG Plus V/A 5.0-1 UNI;
0xA6 (166);Fronius IG Plus V/A 6.0-1 UNI;
0xA5 (165);Fronius IG Plus V/A 7.5-1 UNI;
0xA4 (164);Fronius IG Plus V/A 10.0-1 UNI;
0xA3 (163);Fronius IG Plus V/A 11.4-1 UNI;
0x87 (135);Fronius IG Plus V/A 10.0-3 Delta;
0xA2 (162);Fronius IG Plus V/A 11.4-3 Delta;
0xA1 (161);Fronius IG Plus V/A 12.0-3 WYE;
0xA0 (160);Fronius IG Plus 50 V-1 Dummy;
0x9F (159);Fronius IG Plus 100 V-2 Dummy;
0x9E (158);Fronius IG Plus 150 V-3 Dummy;
0x9D (157);Fronius IG Plus V 3.8-1 Dummy;
0x9C (156);Fronius IG Plus V 7.5-1 Dummy;
0x9B (155);Fronius IG Plus V 12.0-3 Dummy;
0x9A (154);Fronius CL 60.0 Dummy;
0x99 (153);Fronius CL 55.5 Delta Dummy;
0x98 (152);Fronius CL 60.0 WYE277 Dummy;
0x86 (134);SPR 3001F-1 EU;
0x97 (151);SPR 3501F-1 EU;
0x96 (150);SPR 4001F-1 EU;
0x95 (149);SPR 6501F-2 EU;
0x94 (148);SPR 8001F-2 EU;
0x93 (147);SPR 10001F-3 EU;
0x92 (146);SPR 12001F-3 EU;
0x91 (145);SPR-3301f-1 UNI;
0x90 (144);SPR-3801f-1 UNI;
0x8F (143);SPR-6501f-1 UNI;
0x8E (142);SPR-7501f-1 UNI;
0x8D (141);SPR-10001f-1 UNI;
0x8C (140);SPR-11401f-3 Delta;
0x8B (139);SPR-12001f-3 WYE277;
0x8A (138);SPR-11401f-1 UNI;
0x85 (133);Fronius Agilo 100.0-3;
